  Packet #,    ADC,      Pitch,       Roll,        Yaw,   AccX,   AccY,   AccZ,  GyroX,  GyroY,  GyroZ,   MagX,   MagY,   MagZ,   Temp
     39947,    196,    -52.844,    -35.749,    148.750,   -463,     30,   -903,   -339, -11331,   -249,     93,    295,  -2240,   3094
     39948,    195,    -60.052,    -44.789,    157.528,   -773,     40,  -1000,   -342, -11308,   -215,      7,    599,  -2282,   3095
     39949,    193,    -66.072,    -58.811,    171.763,  -1132,     64,  -1047,   -333, -11285,   -261,     50,    960,  -2337,   3094
     39950,    197,    -69.762,    -79.960,   -166.741,  -1479,    142,   -938,   -314, -11264,   -246,     35,   1263,  -2185,   3097
     39951,    197,    -69.717,   -104.713,   -141.474,  -1736,     81,   -729,   -327, -11246,   -232,    -79,   1580,  -2129,   3097
     39952,    195,    -66.446,   -125.474,   -120.149,  -1895,    123,   -533,   -338, -11238,   -276,    -21,   1696,  -1921,   3095
     39953,    195,    -60.908,   -139.254,   -105.755,  -1980,    106,   -322,   -329, -11244,   -238,   -107,   1884,  -1588,   3092
     39954,    194,    -54.274,   -148.080,    -96.252,  -1983,     92,   -111,   -326, -11257,   -260,    -35,   1985,  -1325,   3096
     39955,    194,    -46.990,   -153.812,    -89.791,  -1975,     82,     40,   -334, -11266,   -243,    -57,   1934,  -1054,   3096
     39956,    193,    -39.421,   -157.821,    -85.002,  -1992,     70,     90,   -341, -11266,   -247,      0,   1891,   -929,   3095
     39957,    197,    -31.639,   -160.729,    -81.261,  -2009,     86,    207,   -334, -11273,   -273,     -7,   1797,   -659,   3096
     39958,    197,    -23.688,   -162.856,    -78.249,  -2004,     64,    369,   -327, -11285,   -251,      7,   1595,   -381,   3097
     39959,    196,    -15.663,   -164.438,    -75.701,  -1944,     87,    599,   -341, -11303,   -267,     -7,   1306,   -256,   3096
     39960,    196,     -7.578,   -165.625,    -73.464,  -1791,    101,    848,   -338, -11333,   -259,     21,   1017,   -104,   3094
